Start Buffer: size=834
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt
Robot Data: [7, 99, 128, 8, 20, 34, 2000, 78, 57, 35]
Robot Data: [5, 96, 128, 8, 20, 34, 2000, 0, 52, 40]
Robot Data: [6, 96, 135, 8, 20, 34, 2000, 0, 45, 47]
Robot Data: [7, 92, 138, 8, 20, 35, 2000, 0, 38, 54]
Robot Data: [6, 91, 143, 8, 20, 35, 2280, 0, 51, 64]
Robot Data: [6, 90, 143, 8, 20, 35, 2560, 0, 63, 85]
Robot Data: [6, 92, 142, 9, 23, 35, 2840, 0, 70, 90]
Robot Data: [6, 94, 136, 8, 25, 35, 3120, 0, 83, 99]
Robot Data: [5, 96, 125, 9, 27, 35, 3400, 0, 105, 98]
Robot Data: [7, 101, 118, 10, 31, 35, 3680, 0, 109, 94]
Robot Data: [7, 103, 111, 10, 32, 35, 3960, 0, 124, 107]
Robot Data: [8, 108, 107, 11, 36, 35, 4240, 0, 131, 107]
Robot Data: [6, 105, 100, 9, 39, 35, 4520, 0, 138, 115]
Robot Data: [5, 105, 100, 8, 43, 35, 4800, 0, 135, 124]
Robot Data: [6, 107, 102, 8, 45, 35, 5080, 0, 139, 133]
Robot Data: [5, 103, 101, 6, 48, 35, 5360, 0, 142, 143]
Robot Data: [3, 103, 102, 7, 54, 35, 5640, 0, 139, 135]
Robot Data: [6, 96, 101, 8, 54, 35, 5920, 0, 157, 150]
Robot Data: [6, 72, 67, 9, 55, 35, 5640, 0, 140, 134]
Robot Data: [7, 12, 17, 9, 56, 35, 5360, 0, 116, 121]
Robot Data: [10, 4, 6, 10, 56, 35, 5080, 0, 92, 111]
Robot Data: [13, 3, 3, 13, 53, 35, 4800, 0, 88, 109]
Robot Data: [16, 3, 5, 17, 52, 35, 4520, 0, 76, 92]
Robot Data: [23, 3, 8, 22, 49, 35, 4240, 0, 76, 77]
Robot Data: [28, 4, 7, 29, 47, 35, 3960, 0, 69, 61]
