Start Buffer: size=822
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt, cte, steerAdj, loopTick
Robot Data: [5, 2, 120, 2, 51, 18, 4520, 0, 88, 91, 40, 1, 2943]
Robot Data: [9, 2, 111, 2, 50, 18, 4240, 0, 81, 69, 22, 0, 2944]
Robot Data: [8, 2, 107, 5, 46, 18, 3960, 0, 78, 64, 14, 0, 2945]
Robot Data: [7, 3, 105, 6, 45, 18, 3680, 0, 62, 49, 10, 0, 2946]
Robot Data: [9, 3, 101, 8, 40, 18, 3400, 0, 63, 54, 2, 0, 2947]
Robot Data: [9, 4, 98, 7, 39, 18, 3120, 0, 50, 37, -4, -1, 2948]
Robot Data: [7, 5, 97, 8, 35, 18, 2840, 0, 42, 37, -6, -1, 2949]
Robot Data: [7, 6, 97, 9, 33, 18, 2560, 0, 27, 28, -6, -1, 2950]
Robot Data: [8, 6, 99, 9, 29, 34, 2280, 0, 18, 30, 0, 0, 2951]
Robot Data: [7, 7, 96, 9, 26, 34, 2000, 0, 13, 27, 0, 0, 2952]
Robot Data: [9, 9, 98, 9, 23, 34, 2000, 0, 26, 31, 0, 0, 2953]
Robot Data: [7, 9, 93, 9, 21, 34, 2000, 0, 39, 30, 0, 0, 2954]
Robot Data: [8, 11, 95, 9, 22, 34, 2000, 0, 33, 27, 0, 0, 2955]
Robot Data: [6, 12, 92, 10, 21, 34, 2000, 0, 36, 29, 0, 0, 2956]
Robot Data: [7, 13, 94, 11, 19, 34, 2000, 0, 43, 37, 0, 0, 2957]
Robot Data: [8, 15, 93, 12, 19, 34, 2000, 303, 36, 45, 0, 0, 2958]
Robot Data: [7, 19, 98, 11, 19, 34, 2000, 606, 22, 60, 0, 0, 2959]
Robot Data: [10, 20, 96, 12, 18, 34, 2000, 909, 21, 70, 0, 0, 2960]
Robot Data: [7, 20, 91, 11, 18, 34, 2000, 1212, 11, 82, 0, 0, 2961]
Robot Data: [10, 22, 84, 13, 18, 34, 2000, 1515, 7, 89, 0, 0, 2962]
Robot Data: [11, 17, 72, 13, 18, 34, 2000, 1818, 5, 93, 0, 0, 2963]
Robot Data: [14, 13, 49, 11, 19, 34, 2000, 2121, 1, 92, 0, 0, 2964]
Robot Data: [43, 10, 31, 12, 19, 34, 2000, 2424, 6, 88, 0, 0, 2965]
Robot Data: [60, 6, 17, 9, 19, 34, 2000, 2727, 8, 87, 0, 0, 2966]
Robot Data: [65, 4, 10, 9, 19, 34, 2000, 3030, 8, 88, 0, 0, 2967]
Robot Data: [60, 2, 8, 8, 19, 34, 2000, 3108, 8, 89, 0, 0, 2968]
Robot Data: [48, 3, 14, 8, 19, 34, 2000, 3108, 15, 83, 0, 0, 2969]
Robot Data: [37, 4, 14, 7, 20, 34, 2000, 3108, 12, 79, 0, 0, 2970]
Robot Data: [25, 6, 17, 6, 20, 34, 2000, 3108, 18, 73, 0, 0, 2971]
Robot Data: [16, 5, 20, 5, 19, 34, 2000, 3108, 25, 74, 0, 0, 2972]
Robot Data: [8, 4, 28, 4, 20, 34, 2000, 3108, 17, 75, 0, 0, 2973]
Robot Data: [7, 4, 25, 10, 21, 34, 2000, 3108, 10, 75, 0, 0, 2974]
Robot Data: [6, 3, 20, 57, 19, 34, 2000, 3108, 20, 79, 0, 0, 2975]
Robot Data: [4, 3, 17, 92, 19, 34, 2000, 3108, 16, 84, 0, 0, 2976]
Robot Data: [4, 3, 18, 76, 20, 34, 2000, 3108, 13, 80, 0, 0, 2977]
Robot Data: [3, 6, 96, 55, 20, 34, 2000, 3108, 13, 80, 0, 0, 2978]
Robot Data: [5, 12, 315, 36, 20, 34, 2000, 3108, 11, 82, 0, 0, 2979]
Robot Data: [7, 21, 305, 20, 21, 34, 2000, 2805, 12, 74, 0, 0, 2980]
Robot Data: [7, 34, 276, 9, 20, 34, 2000, 2502, 26, 66, 0, 0, 2981]
Robot Data: [6, 49, 231, 3, 20, 34, 2000, 2199, 42, 51, 0, 0, 2982]
Robot Data: [6, 69, 185, 4, 21, 34, 2000, 1896, 43, 41, 0, 0, 2983]
Robot Data: [6, 89, 146, 5, 19, 34, 2000, 1593, 57, 42, 0, 0, 2984]
Robot Data: [5, 104, 123, 7, 20, 34, 2000, 1290, 63, 30, 0, 0, 2985]
Robot Data: [5, 116, 105, 7, 20, 34, 2000, 987, 63, 29, 0, 0, 2986]
Robot Data: [5, 124, 95, 8, 19, 34, 2000, 684, 65, 36, 0, 0, 2987]
Robot Data: [7, 128, 91, 8, 20, 34, 2000, 381, 60, 34, 0, 0, 2988]
Robot Data: [7, 129, 89, 7, 20, 34, 2000, 78, 60, 33, 0, 0, 2989]
Robot Data: [6, 127, 91, 8, 20, 34, 2000, 0, 52, 41, 0, 0, 2990]
Robot Data: [6, 124, 92, 7, 20, 34, 2000, 0, 46, 48, 0, 0, 2991]
Robot Data: [6, 123, 98, 8, 20, 35, 2280, 0, 56, 60, -25, -1, 2992]
Robot Data: [7, 121, 102, 8, 21, 35, 2560, 0, 69, 72, -19, -1, 2993]
Robot Data: [6, 114, 102, 8, 23, 35, 2840, 0, 77, 84, -12, -1, 2994]
Robot Data: [7, 115, 102, 9, 24, 35, 3120, 0, 93, 96, -13, -1, 2995]
Robot Data: [6, 116, 104, 8, 27, 35, 3400, 0, 101, 104, -12, -1, 2996]
Robot Data: [7, 114, 102, 8, 30, 35, 3680, 0, 106, 106, -12, -1, 2997]
Robot Data: [6, 117, 101, 9, 32, 35, 3960, 0, 121, 113, -16, -1, 2998]
Robot Data: [7, 117, 98, 9, 35, 35, 4240, 0, 128, 121, -19, -1, 2999]
Robot Data: [7, 114, 95, 8, 40, 35, 4520, 0, 127, 121, -19, -1, 3000]
Robot Data: [4, 116, 95, 7, 42, 35, 4800, 0, 136, 133, -21, -1, 3001]
Robot Data: [4, 116, 96, 6, 45, 35, 5080, 0, 139, 136, -20, -1, 3002]
Robot Data: [4, 113, 94, 5, 49, 35, 5360, 0, 144, 136, -19, -1, 3003]
Robot Data: [5, 112, 95, 5, 53, 35, 5640, 0, 149, 135, -17, -1, 3004]
Robot Data: [5, 111, 96, 7, 54, 35, 5920, 0, 164, 146, -15, -1, 3005]
Robot Data: [7, 102, 91, 8, 52, 35, 5640, 0, 151, 150, -11, -1, 3006]
Robot Data: [8, 70, 45, 8, 57, 35, 5360, 0, 110, 126, 60, 1, 3007]
Robot Data: [9, 11, 11, 9, 55, 35, 5080, 0, 97, 119, 0, -1, 3008]
Robot Data: [10, 4, 4, 11, 53, 35, 4800, 0, 94, 110, 0, 0, 3009]
Robot Data: [11, 3, 4, 13, 52, 35, 4520, 0, 81, 94, 0, 0, 3010]
Robot Data: [20, 4, 5, 20, 50, 35, 4240, 0, 75, 77, 0, 0, 3011]
Robot Data: [24, 4, 6, 27, 47, 35, 3960, 0, 68, 68, 0, 0, 3012]
Robot Data: [28, 6, 8, 32, 44, 35, 3680, 0, 64, 56, 0, 0, 3013]
Robot Data: [31, 6, 10, 37, 40, 35, 3400, 0, 63, 56, 0, 0, 3014]
Robot Data: [35, 4, 10, 41, 39, 35, 3120, 0, 48, 41, 0, 0, 3015]
Robot Data: [39, 5, 14, 48, 36, 35, 2840, 0, 40, 33, 0, 0, 3016]
Robot Data: [41, 7, 15, 53, 34, 35, 2560, 0, 28, 21, 0, 0, 3017]
Robot Data: [48, 9, 17, 59, 30, 36, 2280, 0, 23, 16, 0, 0, 3018]
Robot Data: [54, 10, 19, 63, 24, 36, 2300, 303, 35, 51, 0, 0, 3019]
Robot Data: [58, 12, 23, 68, 24, 36, 2300, 606, 26, 59, 0, 0, 3020]
Robot Data: [61, 13, 25, 73, 24, 36, 2300, 909, 19, 64, 0, 0, 3021]
Robot Data: [64, 14, 30, 79, 25, 36, 2300, 1212, 6, 69, 0, 0, 3022]
Robot Data: [66, 14, 34, 88, 23, 36, 2300, 1515, 10, 78, 0, 0, 3023]
Robot Data: [66, 13, 41, 97, 22, 36, 2300, 1818, 9, 87, 0, 0, 3024]
Robot Data: [64, 9, 50, 103, 22, 36, 2300, 2121, 8, 89, 0, 0, 3025]
Robot Data: [59, 8, 73, 105, 21, 36, 2300, 2424, 9, 97, 0, 0, 3026]
Robot Data: [52, 6, 99, 103, 21, 36, 2300, 2727, 9, 99, 0, 0, 3027]
Robot Data: [52, 4, 126, 100, 21, 36, 2300, 3030, 10, 100, 0, 0, 3028]
Robot Data: [46, 3, 160, 101, 22, 36, 2300, 3108, 7, 97, 0, 0, 3029]
Robot Data: [40, 3, 194, 103, 22, 36, 2300, 3108, 13, 92, 0, 0, 3030]
Robot Data: [30, 2, 228, 103, 22, 36, 2300, 3108, 19, 88, 0, 0, 3031]
Robot Data: [21, 4, 266, 102, 22, 36, 2300, 3108, 27, 81, 0, 0, 3032]
Robot Data: [16, 5, 313, 99, 22, 36, 2300, 3108, 30, 79, 0, 0, 3033]
Robot Data: [9, 6, 387, 89, 23, 36, 2300, 3108, 26, 76, 0, 0, 3034]
Robot Data: [7, 5, 437, 82, 22, 36, 2300, 3108, 30, 80, 0, 0, 3035]
Robot Data: [3, 3, 407, 69, 23, 36, 2300, 3108, 25, 79, 0, 0, 3036]
Robot Data: [4, 3, 365, 58, 23, 36, 2300, 3108, 19, 84, 0, 0, 3037]
Robot Data: [4, 4, 329, 47, 22, 36, 2300, 3108, 20, 91, 0, 0, 3038]
Robot Data: [4, 5, 272, 37, 23, 36, 2300, 3108, 13, 91, 0, 0, 3039]
Robot Data: [5, 9, 222, 26, 23, 36, 2300, 3108, 16, 89, 0, 0, 3040]
Robot Data: [6, 19, 230, 16, 22, 36, 2300, 2805, 29, 83, 0, 0, 3041]
Robot Data: [6, 32, 208, 7, 24, 36, 2300, 2502, 26, 72, 0, 0, 3042]
Robot Data: [7, 51, 174, 5, 23, 36, 2300, 2199, 40, 64, 0, 0, 3043]
Robot Data: [10, 75, 144, 5, 23, 36, 2300, 1896, 55, 50, 0, 0, 3044]
Robot Data: [6, 101, 117, 5, 22, 36, 2300, 1593, 68, 45, 0, 0, 3045]
Robot Data: [5, 119, 96, 6, 23, 36, 2300, 1290, 69, 37, 0, 0, 3046]
Robot Data: [5, 135, 84, 6, 23, 36, 2300, 987, 72, 34, 0, 0, 3047]
Robot Data: [7, 144, 76, 8, 23, 36, 2300, 684, 71, 35, 0, 0, 3048]
Robot Data: [6, 149, 74, 7, 23, 36, 2300, 381, 67, 38, 0, 0, 3049]
Robot Data: [6, 150, 75, 8, 23, 36, 2300, 78, 64, 42, 0, 0, 3050]
Robot Data: [7, 145, 76, 8, 23, 36, 2020, 0, 43, 32, 0, 0, 3051]
Robot Data: [6, 139, 77, 7, 22, 36, 2000, 0, 38, 41, 0, 0, 3052]
Robot Data: [8, 138, 85, 8, 21, 20, 2280, 0, 54, 54, -53, -2, 3053]
Robot Data: [6, 131, 89, 7, 21, 20, 2560, 0, 70, 70, -42, -2, 3054]
Robot Data: [7, 130, 93, 8, 25, 20, 2840, 0, 72, 72, -37, -2, 3055]
Robot Data: [7, 124, 92, 7, 25, 20, 3120, 0, 85, 92, -32, -1, 3056]
Robot Data: [7, 124, 93, 8, 26, 20, 3400, 0, 98, 109, -31, -1, 3057]
Robot Data: [7, 122, 92, 8, 30, 20, 3680, 0, 104, 103, -30, -1, 3058]
Robot Data: [9, 122, 94, 9, 32, 20, 3960, 0, 116, 113, -28, -1, 3059]
Robot Data: [7, 122, 91, 9, 35, 20, 4240, 0, 128, 116, -31, -1, 3060]
Robot Data: [9, 123, 92, 9, 39, 20, 4520, 0, 129, 123, -31, -1, 3061]
Robot Data: [11, 120, 92, 9, 41, 20, 4800, 0, 140, 133, -28, -1, 3062]
Robot Data: [10, 122, 92, 9, 45, 20, 5080, 0, 140, 133, -30, -1, 3063]
Robot Data: [11, 119, 89, 9, 48, 20, 5360, 0, 142, 143, -30, -1, 3064]
Robot Data: [12, 116, 85, 10, 52, 20, 5640, 0, 149, 141, -31, -1, 3065]
Robot Data: [12, 109, 67, 11, 55, 20, 5920, 0, 155, 148, -42, -2, 3066]
Robot Data: [12, 98, 23, 11, 53, 20, 5640, 0, 147, 144, 4, 0, 3067]
Robot Data: [14, 17, 12, 13, 57, 20, 5360, 0, 116, 117, 0, -1, 3068]
Robot Data: [17, 6, 8, 13, 55, 20, 5080, 0, 103, 111, 0, 0, 3069]
Robot Data: [17, 6, 6, 15, 53, 20, 4800, 0, 93, 108, 0, 0, 3070]
Robot Data: [25, 6, 8, 18, 52, 20, 4520, 0, 83, 89, -1, -1, 3071]
Robot Data: [28, 6, 7, 24, 49, 20, 4240, 0, 79, 78, -1, -1, 3072]
Robot Data: [32, 7, 8, 26, 46, 20, 3960, 0, 77, 65, -1, -1, 3073]
Robot Data: [37, 8, 8, 29, 45, 20, 3680, 0, 59, 53, -1, -1, 3074]
Robot Data: [43, 10, 9, 32, 40, 20, 3400, 0, 58, 59, -1, -1, 3075]
Robot Data: [46, 11, 9, 38, 38, 20, 3120, 0, 42, 54, -1, -1, 3076]
Robot Data: [50, 12, 13, 44, 38, 20, 2840, 0, 26, 32, -1, -1, 3077]
Robot Data: [51, 12, 13, 49, 33, 20, 2560, 0, 32, 23, -1, -1, 3078]
Robot Data: [61, 14, 18, 56, 29, 4, 2280, 0, 30, 16, 0, 0, 3079]
Robot Data: [67, 16, 20, 63, 26, 4, 2300, -303, 47, 23, 0, 0, 3080]
Robot Data: [70, 18, 23, 68, 24, 4, 2300, -606, 57, 25, 0, 0, 3081]
Robot Data: [75, 21, 25, 73, 24, 4, 2300, -909, 59, 22, 0, 0, 3082]
