Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Cross Track Error,Steering Correction,loopTick,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y,time_s,Speed_mm_s
39,6,217,54,19,49,2000,0,55,45,0,0,3506,93,-15,26837,4772.600409209268,355.673168328,0.0,1.9799999999999998,1.6199999999999999,3,1,6.59,337.8895099115725
38,7,216,56,20,49,2000,0,50,44,0,0,3507,94,-18,26857,4776.157140892548,355.673168328,0.0,1.7999999999999998,1.5839999999999999,3,1,6.6,355.673168328038
41,7,218,57,21,49,2000,0,46,39,0,0,3508,98,-16,26878,4779.891709159992,355.673168328,0.0,1.656,1.404,3,1,6.61,373.4568267443795
41,8,220,60,20,49,2000,0,48,45,0,0,3509,101,-19,26898,4783.448440843272,355.673168328,0.0,1.7279999999999998,1.6199999999999999,3,1,6.62,355.67316832794705
47,8,225,62,20,49,2000,0,46,46,0,0,3510,109,-15,26918,4787.005172526552,355.673168328,0.0,1.656,1.656,3,1,6.63,355.673168328038
53,9,227,65,20,49,2000,303,37,56,0,0,3511,118,-12,26938,4790.561904209832,355.673168328,41.164714285671,1.3319999999999999,2.016,3,1,6.64,355.673168328038
54,11,226,68,20,49,2000,606,30,62,0,0,3512,122,-14,26958,4794.118635893112,355.673168328,82.329428571342,1.0799999999999998,2.2319999999999998,3,1,6.65,355.6731683279155
55,12,223,70,19,49,2000,909,23,77,0,0,3513,125,-15,26977,4797.497530992228,355.673168328,123.49414285701302,0.828,2.772,3,1,6.66,337.8895099116634
60,12,216,76,20,49,2000,1212,14,80,0,0,3514,136,-16,26997,4801.054262675508,355.673168328,164.658857142684,0.504,2.88,3,1,6.67,355.67316832794705
58,12,195,81,20,49,2000,1515,7,86,0,0,3515,139,-23,27017,4804.610994358788,355.673168328,205.82357142835502,0.252,3.0959999999999996,3,1,6.68,355.673168328038
59,11,164,88,20,49,2000,1818,3,91,0,0,3516,147,-29,27037,4808.167726042068,355.673168328,246.98828571402603,0.10799999999999998,3.276,3,1,6.69,355.67316832800645
57,8,130,91,19,49,2000,2121,7,94,0,0,3517,148,-34,27056,4811.546621141184,355.673168328,288.15299999969704,0.252,3.384,3,1,6.7,337.8895099115725
54,5,99,88,20,49,2000,2424,6,89,0,0,3518,142,-34,27076,4815.103352824464,355.673168328,329.317714285368,0.21599999999999997,3.2039999999999997,3,1,6.71,355.673168328038
49,4,110,86,19,49,2000,2727,10,93,0,0,3519,135,-37,27095,4818.48224792358,355.673168328,370.482428571039,0.36,3.348,3,1,6.72,337.8895099115725
45,4,134,84,20,49,2000,3030,6,90,0,0,3520,129,-39,27115,4822.03897960686,355.673168328,411.64714285671005,0.21599999999999997,3.2399999999999998,3,1,6.73,355.67316832800645
38,2,140,86,20,49,2000,3108,10,86,0,0,3521,124,-48,27135,4825.59571129014,355.673168328,422.243999999556,0.36,3.0959999999999996,3,1,6.74,355.67316832794705
30,2,169,85,20,49,2000,3108,13,82,0,0,3522,115,-55,27155,4829.15244297342,355.673168328,422.243999999556,0.46799999999999997,2.952,3,1,6.75,355.673168328038
21,4,195,82,20,49,2000,3108,16,79,0,0,3523,103,-61,27175,4832.7091746567,355.673168328,422.243999999556,0.576,2.844,3,1,6.76,355.673168328038
18,3,223,80,20,49,2000,3108,20,76,0,0,3524,98,-62,27195,4836.26590633998,355.673168328,422.243999999556,0.72,2.7359999999999998,3,1,6.77,355.67316832794705
12,4,268,75,21,49,2000,3108,15,72,0,0,3525,87,-63,27216,4840.000474607424,355.673168328,422.243999999556,0.5399999999999999,2.5919999999999996,3,1,6.78,373.4568267443795
7,5,325,67,20,49,2000,3108,21,74,0,0,3526,74,-60,27236,4843.557206290704,355.673168328,422.243999999556,0.7559999999999999,2.6639999999999997,3,1,6.79,355.673168328038
6,4,331,59,21,49,2000,3108,15,72,0,0,3527,65,-53,27257,4847.291774558148,355.673168328,422.243999999556,0.5399999999999999,2.5919999999999996,3,1,6.8,373.45682674441264
5,2,295,51,19,49,2000,3108,22,79,0,0,3528,56,-46,27276,4850.670669657264,355.673168328,422.243999999556,0.7919999999999999,2.844,3,1,6.81,337.8895099115725
2,4,262,43,21,49,2000,3108,13,74,0,0,3529,45,-41,27297,4854.405237924708,355.673168328,422.243999999556,0.46799999999999997,2.6639999999999997,3,1,6.82,373.4568267443795
3,4,235,31,21,49,2000,3108,11,75,0,0,3530,34,-28,27318,4858.139806192152,355.673168328,422.243999999556,0.39599999999999996,2.6999999999999997,3,1,6.83,373.45682674441264
4,2,220,21,19,49,2000,3108,14,86,0,0,3531,25,-17,27337,4861.518701291268,355.673168328,422.243999999556,0.504,3.0959999999999996,3,1,6.84,337.8895099116634
4,2,197,13,19,49,2000,3108,19,82,0,0,3532,17,-9,27356,4864.897596390384,355.673168328,422.243999999556,0.6839999999999999,2.952,3,1,6.85,337.8895099115725
5,2,165,6,21,49,2000,2805,16,71,0,0,3533,11,-1,27377,4868.632164657828,355.673168328,381.07928571388504,0.576,2.5559999999999996,3,1,6.86,373.4568267443795
6,1,147,4,20,49,2000,2502,26,67,0,0,3534,10,2,27397,4872.188896341108,355.673168328,339.91457142821406,0.9359999999999999,2.412,3,1,6.87,355.673168328038
7,1,122,3,20,49,2000,2199,38,55,0,0,3535,10,4,27417,4875.745628024388,355.673168328,298.749857142543,1.3679999999999999,1.9799999999999998,3,1,6.88,355.67316832794705
5,3,99,4,21,49,2000,1896,43,43,0,0,3536,9,1,27438,4879.480196291832,355.673168328,257.58514285687204,1.5479999999999998,1.5479999999999998,3,1,6.89,373.45682674441264
7,2,80,5,19,49,2000,1593,56,44,0,0,3537,12,2,27457,4882.859091390948,355.673168328,216.42042857120103,2.016,1.5839999999999999,3,1,6.9,337.8895099116334
7,2,63,5,20,49,2000,1290,62,32,0,0,3538,12,2,27477,4886.415823074228,355.673168328,175.25571428553002,2.2319999999999998,1.152,3,1,6.91,355.67316832794705
3,3,54,5,20,49,2000,987,62,31,0,0,3539,8,-2,27497,4889.972554757508,355.673168328,134.090999999859,2.2319999999999998,1.1159999999999999,3,1,6.92,355.673168328038
4,3,47,6,20,49,2000,684,61,32,0,0,3540,10,-2,27517,4893.529286440788,355.673168328,92.92628571418801,2.1959999999999997,1.152,3,1,6.93,355.673168328038
3,4,45,6,20,49,2000,381,62,32,0,0,3541,9,-3,27537,4897.086018124068,355.673168328,51.761571428517,2.2319999999999998,1.152,3,1,6.94,355.6731683279155
5,3,46,6,20,49,2000,78,58,36,0,0,3542,11,-1,27557,4900.642749807348,355.673168328,10.596857142846002,2.0879999999999996,1.2959999999999998,3,1,6.95,355.673168328038
3,4,46,6,20,49,2000,0,53,41,0,0,3543,9,-3,27577,4904.199481490628,355.673168328,0.0,1.908,1.476,3,1,6.96,355.673168328038
5,3,53,6,20,49,2000,0,46,48,0,0,3544,11,-1,27597,4907.756213173908,355.673168328,0.0,1.656,1.7279999999999998,3,1,6.97,355.67316832794705
8,4,53,6,20,33,2000,0,41,53,0,0,3545,14,2,27617,4911.312944857188,355.673168328,0.0,1.476,1.908,2,1,6.98,355.67316832800645
8,3,53,6,20,33,2000,0,44,50,0,0,3546,14,2,27637,4914.869676540468,355.673168328,0.0,1.5839999999999999,1.7999999999999998,2,1,6.99,355.673168328038
10,3,57,6,20,33,2000,0,41,52,0,0,3547,16,4,27657,4918.426408223748,355.673168328,0.0,1.476,1.8719999999999999,2,1,7.0,355.67316832794705
11,2,56,6,19,33,2000,0,46,56,0,0,3548,17,5,27676,4921.805303322864,355.673168328,0.0,1.656,2.016,2,1,7.01,337.8895099116634
11,3,54,6,20,33,2000,0,44,50,0,0,3549,17,5,27696,4925.362035006144,355.673168328,0.0,1.5839999999999999,1.7999999999999998,2,1,7.02,355.67316832794705
15,2,56,6,20,33,2000,0,46,49,0,0,3550,21,9,27716,4928.918766689424,355.673168328,0.0,1.656,1.7639999999999998,2,1,7.03,355.67316832800645
13,3,53,7,20,33,2000,0,48,47,0,0,3551,20,6,27736,4932.475498372704,355.673168328,0.0,1.7279999999999998,1.692,2,1,7.04,355.673168328038
15,1,53,8,22,33,2000,303,34,45,0,0,3552,23,7,27758,4936.387903224312,355.673168328,41.164714285671,1.224,1.6199999999999999,2,1,7.05,391.2404851607873
16,3,49,8,20,33,2000,606,33,59,0,0,3553,24,8,27778,4939.944634907592,355.673168328,82.329428571342,1.188,2.1239999999999997,2,1,7.06,355.673168328038
15,3,47,9,19,33,2000,909,29,71,0,0,3554,24,6,27797,4943.323530006708,355.673168328,123.49414285701302,1.0439999999999998,2.5559999999999996,2,1,7.07,337.88950991154246
12,4,49,8,20,33,2000,1212,19,75,0,0,3555,20,4,27817,4946.880261689988,355.673168328,164.658857142684,0.6839999999999999,2.6999999999999997,2,1,7.08,355.673168328038
8,4,39,9,20,33,2000,1515,10,83,0,0,3556,17,-1,27837,4950.436993373268,355.673168328,205.82357142835502,0.36,2.988,2,1,7.09,355.67316832794705
