Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
9,25,89,13,18,34,2000,606,25,59,22,-4,3799,675.601183239036,355.673168328,82.329428571342,0.8999999999999999,2.1239999999999997,2,2
10,27,88,13,19,34,2000,909,19,60,23,-3,3818,678.980078338152,355.673168328,123.49414285701302,0.6839999999999999,2.1599999999999997,2,2
10,27,80,13,18,34,2000,1212,14,74,23,-3,3836,682.181136853104,355.673168328,164.658857142684,0.504,2.6639999999999997,2,2
11,28,79,13,18,34,2000,1515,7,83,24,-2,3854,685.382195368056,355.673168328,205.82357142835502,0.252,2.988,2,2
11,26,63,14,17,34,2000,1818,8,92,25,-3,3871,688.405417298844,355.673168328,246.98828571402603,0.288,3.312,2,2
15,20,48,14,19,34,2000,2121,0,88,29,1,3890,691.78431239796,355.673168328,288.15299999969704,0.0,3.1679999999999997,2,2
37,14,30,11,18,34,2000,2424,5,92,48,26,3908,694.985370912912,355.673168328,329.317714285368,0.18,3.312,2,2
77,11,21,11,19,34,2000,2727,4,87,88,66,3927,698.364266012028,355.673168328,370.482428571039,0.144,3.1319999999999997,2,2
73,5,12,10,19,34,2000,3030,4,88,83,63,3946,701.743161111144,355.673168328,411.64714285671005,0.144,3.1679999999999997,2,2
72,3,13,9,20,34,2000,3108,3,83,81,63,3966,705.299892794424,355.673168328,422.243999999556,0.10799999999999998,2.988,2,2
59,3,17,8,18,34,2000,3108,16,85,67,51,3984,708.500951309376,355.673168328,422.243999999556,0.576,3.0599999999999996,2,2
46,4,16,8,19,34,2000,3108,20,75,54,38,4003,711.879846408492,355.673168328,422.243999999556,0.72,2.6999999999999997,2,2
37,5,19,8,20,34,2000,3108,16,73,45,29,4023,715.436578091772,355.673168328,422.243999999556,0.576,2.6279999999999997,2,2
24,9,35,5,20,34,2000,3108,18,71,29,19,4043,718.993309775052,355.673168328,422.243999999556,0.6479999999999999,2.5559999999999996,2,2
14,4,30,6,19,34,2000,3108,21,75,20,8,4062,722.372204874168,355.673168328,422.243999999556,0.7559999999999999,2.6999999999999997,2,2
6,3,28,6,20,34,2000,3108,16,74,12,0,4082,725.928936557448,355.673168328,422.243999999556,0.576,2.6639999999999997,2,2
8,3,22,21,20,34,2000,3108,15,76,29,-13,4102,729.485668240728,355.673168328,422.243999999556,0.5399999999999999,2.7359999999999998,2,2
2,3,17,103,20,34,2000,3108,13,77,105,-101,4122,733.042399924008,355.673168328,422.243999999556,0.46799999999999997,2.772,2,2
4,4,21,125,20,34,2000,3108,11,79,129,-121,4142,736.599131607288,355.673168328,422.243999999556,0.39599999999999996,2.844,2,2
4,3,98,86,20,34,2000,3108,13,77,90,-82,4162,740.155863290568,355.673168328,422.243999999556,0.46799999999999997,2.772,2,2
4,8,388,59,20,34,2000,3108,9,81,63,-55,4182,743.712594973848,355.673168328,422.243999999556,0.32399999999999995,2.916,2,2
6,16,376,37,20,34,2000,2805,18,72,43,-31,4202,747.269326657128,355.673168328,381.07928571388504,0.6479999999999999,2.5919999999999996,2,2
7,25,358,16,21,34,2000,2502,22,60,23,-9,4223,751.003894924572,355.673168328,339.91457142821406,0.7919999999999999,2.1599999999999997,2,2
7,37,301,7,20,34,2000,2199,38,51,14,0,4243,754.560626607852,355.673168328,298.749857142543,1.3679999999999999,1.8359999999999999,2,2
4,52,241,4,20,34,2000,1896,46,43,8,0,4263,758.117358291132,355.673168328,257.58514285687204,1.656,1.5479999999999998,2,2
4,69,203,4,19,34,2000,1593,58,39,8,0,4282,761.496253390248,355.673168328,216.42042857120103,2.0879999999999996,1.404,2,2
6,82,167,7,20,34,2000,1290,61,29,13,-1,4302,765.052985073528,355.673168328,175.25571428553002,2.1959999999999997,1.0439999999999998,2,2
5,92,147,7,19,34,2000,987,68,30,12,-2,4321,768.431880172644,355.673168328,134.090999999859,2.448,1.0799999999999998,2,2
5,95,132,7,20,34,2000,684,62,29,12,-2,4341,771.988611855924,355.673168328,92.92628571418801,2.2319999999999998,1.0439999999999998,2,2
6,99,127,7,19,34,2000,381,62,37,13,-1,4360,775.36750695504,355.673168328,51.761571428517,2.2319999999999998,1.3319999999999999,2,2
7,99,128,8,20,34,2000,78,57,35,15,-1,4380,778.92423863832,355.673168328,10.596857142846002,2.052,1.26,2,2
5,96,128,8,20,34,2000,0,52,40,13,-3,4400,782.4809703216,355.673168328,0.0,1.8719999999999999,1.44,2,2
6,96,135,8,20,34,2000,0,45,47,14,-2,4420,786.03770200488,355.673168328,0.0,1.6199999999999999,1.692,2,2
7,92,138,8,20,35,2000,0,38,54,15,-1,4440,789.59443368816,355.673168328,0.0,1.3679999999999999,1.944,2,3
6,91,143,8,20,35,2280,0,51,64,14,-2,4460,793.15116537144,405.46741189392,0.0,1.8359999999999999,2.304,2,3
