Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
34,245,1,3,20,2,2000,-3108,84,13,37,31,2218,394.441543675752,355.673168328,-422.243999999556,3.0239999999999996,0.46799999999999997,0,2
9,209,6,2,20,2,2000,-3108,87,9,11,7,2238,397.998275359032,355.673168328,-422.243999999556,3.1319999999999997,0.32399999999999995,0,2
6,159,8,2,19,2,2000,-3108,91,14,8,4,2257,401.377170458148,355.673168328,-422.243999999556,3.276,0.504,0,2
10,38,15,1,20,2,2000,-3108,87,10,11,9,2277,404.933902141428,355.673168328,-422.243999999556,3.1319999999999997,0.36,0,2
11,7,28,1,20,2,2000,-2805,81,17,12,10,2297,408.490633824708,355.673168328,-381.07928571388504,2.916,0.612,0,2
15,6,52,2,20,2,2000,-2502,71,27,17,13,2317,412.047365507988,355.673168328,-339.91457142821406,2.5559999999999996,0.972,0,2
18,6,82,1,21,2,2000,-2199,54,36,19,17,2338,415.781933775432,355.673168328,-298.749857142543,1.944,1.2959999999999998,0,2
8,5,119,3,20,2,2000,-1896,50,46,11,5,2358,419.338665458712,355.673168328,-257.58514285687204,1.7999999999999998,1.656,0,2
3,5,162,2,19,2,2000,-1593,44,60,5,1,2377,422.717560557828,355.673168328,-216.42042857120103,1.5839999999999999,2.1599999999999997,0,2
2,5,196,2,21,2,2000,-1290,30,60,4,0,2398,426.452128825272,355.673168328,-175.25571428553002,1.0799999999999998,2.1599999999999997,0,2
3,8,223,1,20,2,2000,-987,33,64,4,2,2418,430.008860508552,355.673168328,-134.090999999859,1.188,2.304,0,2
0,6,232,2,20,2,2000,-684,32,65,2,-2,2438,433.565592191832,355.673168328,-92.92628571418801,1.152,2.34,0,2
2,9,241,3,20,2,2000,-381,34,63,5,-1,2458,437.122323875112,355.673168328,-51.761571428517,1.224,2.268,0,2
2,9,240,2,20,2,2000,-78,35,61,4,0,2478,440.679055558392,355.673168328,-10.596857142846002,1.26,2.1959999999999997,0,2
2,9,231,2,20,2,2000,0,41,56,4,0,2498,444.235787241672,355.673168328,0.0,1.476,2.016,0,2
3,10,230,1,19,2,2000,0,52,53,4,2,2517,447.614682340788,355.673168328,0.0,1.8719999999999999,1.908,0,2
2,9,217,2,21,18,2000,0,38,53,4,0,2538,451.349250608232,355.673168328,0.0,1.3679999999999999,1.908,1,2
3,9,207,2,20,18,2280,0,45,74,5,1,2558,454.905982291512,405.46741189392,0.0,1.6199999999999999,2.6639999999999997,1,2
3,10,197,2,21,18,2560,0,61,84,5,1,2579,458.640550558956,455.26165545984,0.0,2.1959999999999997,3.0239999999999996,1,2
3,9,183,2,22,18,2840,0,82,90,5,1,2601,462.552955410564,505.05589902576,0.0,2.952,3.2399999999999998,1,2
3,10,171,3,24,18,3120,0,96,98,6,0,2625,466.8210334305,554.85014259168,0.0,3.4559999999999995,3.5279999999999996,1,2
4,10,158,3,26,18,3400,0,114,102,7,1,2651,471.444784618764,604.6443861576,0.0,4.104,3.6719999999999997,1,2
8,12,149,4,29,18,3680,0,123,102,12,4,2680,476.60204555952,654.43862972352,0.0,4.428,3.6719999999999997,1,2
6,12,142,2,33,18,3960,0,126,106,8,4,2713,482.470652836932,704.23287328944,0.0,4.536,3.816,1,2
4,13,132,1,35,18,4240,0,133,121,5,3,2748,488.694933282672,754.02711685536,0.0,4.787999999999999,4.356,1,2
4,16,129,1,39,18,4520,0,135,126,5,3,2787,495.630560065068,803.82136042128,0.0,4.859999999999999,4.536,1,2
4,19,124,1,41,18,4800,0,143,140,5,3,2828,502.921860015792,853.6156039872,0.0,5.148,5.04,1,2
3,25,124,1,45,18,5080,0,139,144,4,2,2873,510.924506303172,903.40984755312,0.0,5.004,5.183999999999999,1,2
1,34,124,1,48,18,5360,0,144,151,2,0,2921,519.460662343044,953.20409111904,0.0,5.183999999999999,5.436,1,2
3,51,120,1,52,18,5640,0,143,158,4,2,2973,528.708164719572,1002.99833468496,0.0,5.148,5.688,1,2
1,68,133,1,56,18,5920,0,157,147,2,0,3029,538.667013432756,1052.79257825088,0.0,5.651999999999999,5.292,1,2
2,60,139,1,54,18,5640,0,150,143,3,1,3083,548.270188977612,1002.99833468496,0.0,5.3999999999999995,5.148,1,2
3,12,133,1,56,18,5360,0,126,123,4,2,3139,558.229037690796,953.20409111904,0.0,4.536,4.428,1,2
