Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
11,98,108,10,15,1,1400,0,33,29,21,1,1137,202.200196194468,248.9712178296,0.0,1.188,1.0439999999999998,0,1
10,97,98,12,14,1,1400,0,36,33,22,-2,1151,204.689908372764,248.9712178296,0.0,1.2959999999999998,1.188,0,1
11,101,87,12,13,1,1400,0,40,37,23,-1,1164,207.001783966896,248.9712178296,0.0,1.44,1.3319999999999999,0,1
11,99,66,11,14,1,1400,0,41,29,22,0,1178,209.491496145192,248.9712178296,0.0,1.476,1.0439999999999998,0,1
13,97,49,12,14,1,1400,0,38,32,25,1,1192,211.981208323488,248.9712178296,0.0,1.3679999999999999,1.152,0,1
14,93,29,13,14,1,1400,0,34,36,27,1,1206,214.470920501784,248.9712178296,0.0,1.224,1.2959999999999998,0,1
14,93,19,13,14,1,1400,0,33,37,27,1,1220,216.96063268008,248.9712178296,0.0,1.188,1.3319999999999999,0,1
16,91,13,13,14,1,1400,0,31,39,29,3,1234,219.450344858376,248.9712178296,0.0,1.1159999999999999,1.404,0,1
16,95,9,14,14,1,1400,0,34,36,30,2,1248,221.940057036672,248.9712178296,0.0,1.224,1.2959999999999998,0,1
16,95,7,15,14,1,1400,0,33,37,31,1,1262,224.429769214968,248.9712178296,0.0,1.188,1.3319999999999999,0,1
16,94,1,14,14,1,1400,0,35,35,30,2,1276,226.919481393264,248.9712178296,0.0,1.26,1.26,0,1
17,93,4,14,14,1,1400,0,35,35,31,3,1290,229.40919357156,248.9712178296,0.0,1.26,1.26,0,1
17,97,4,15,14,1,1400,0,35,35,32,2,1304,231.898905749856,248.9712178296,0.0,1.26,1.26,0,1
19,98,4,16,14,1,1400,0,37,33,35,3,1318,234.388617928152,248.9712178296,0.0,1.3319999999999999,1.188,0,1
20,97,5,16,14,1,1400,0,37,33,36,4,1332,236.878330106448,248.9712178296,0.0,1.3319999999999999,1.188,0,1
19,101,4,17,15,1,1400,0,35,27,36,2,1347,239.545878868908,248.9712178296,0.0,1.26,0.972,0,1
22,97,3,17,14,1,1400,0,34,35,39,5,1361,242.035591047204,248.9712178296,0.0,1.224,1.26,0,1
20,99,3,18,14,1,1400,0,34,34,38,2,1375,244.5253032255,248.9712178296,0.0,1.224,1.224,0,1
20,99,4,17,14,1,1400,0,34,34,37,3,1389,247.015015403796,248.9712178296,0.0,1.224,1.224,0,1
25,98,4,20,14,1,1400,0,38,31,45,5,1403,249.504727582092,248.9712178296,0.0,1.3679999999999999,1.1159999999999999,0,1
24,97,5,19,14,1,1400,0,40,29,43,5,1417,251.994439760388,248.9712178296,0.0,1.44,1.0439999999999998,0,1
25,96,4,20,14,1,1400,0,36,33,45,5,1431,254.484151938684,248.9712178296,0.0,1.2959999999999998,1.188,0,1
29,97,4,22,13,1,1400,0,40,37,51,7,1444,256.796027532816,248.9712178296,0.0,1.44,1.3319999999999999,0,1
26,95,3,20,15,1,1400,0,31,31,46,6,1459,259.463576295276,248.9712178296,0.0,1.1159999999999999,1.1159999999999999,0,1
28,93,3,22,13,1,1400,0,38,38,50,6,1472,261.775451889408,248.9712178296,0.0,1.3679999999999999,1.3679999999999999,0,1
29,93,2,22,14,1,1400,0,37,33,51,7,1486,264.265164067704,248.9712178296,0.0,1.3319999999999999,1.188,0,1
31,91,4,23,14,1,1400,0,33,37,54,8,1500,266.754876246,248.9712178296,0.0,1.188,1.3319999999999999,0,1
